datetime,code,open,close,high,low,vol,amount,p_change
2018-06-29,002202,12.74,12.64,12.75,12.13,233429.0,290987584.0,-0.24
2018-06-28,002202,12.63,12.67,12.98,12.58,130393.0,166593904.0,-0.55
2018-06-27,002202,13.12,12.74,13.15,12.66,223642.0,286370432.0,-3.34
2018-06-26,002202,13.79,13.18,13.79,12.74,368323.0,483544032.0,-5.25
2018-06-25,002202,14.51,13.91,14.56,13.88,134440.0,189965648.0,-3.54
2018-06-22,002202,13.9,14.42,14.52,13.66,139398.0,197892992.0,2.93
2018-06-21,002202,13.99,14.01,14.46,13.75,127204.0,180583152.0,0.14
2018-06-20,002202,13.91,13.99,14.2,13.57,142677.0,198620304.0,-0.07
2018-06-19,002202,14.5,14.0,14.5,13.45,270010.0,378098016.0,-5.15
2018-06-15,002202,14.64,14.76,15.07,14.48,104744.0,154799232.0,1.17
2018-06-14,002202,14.61,14.59,14.96,14.53,83688.0,123455960.0,-0.68
2018-06-13,002202,15.0,14.69,15.19,14.64,117361.0,174036576.0,-1.94
2018-06-12,002202,15.36,14.98,15.49,14.83,164487.0,246904656.0,-2.22
2018-06-11,002202,15.29,15.32,15.5,15.05,103277.0,158315360.0,0.2
2018-06-08,002202,15.37,15.29,15.54,14.89,147875.0,225987392.0,-1.42
2018-06-07,002202,15.38,15.51,15.67,15.3,190426.0,296033344.0,2.11
2018-06-06,002202,15.1,15.19,15.54,14.91,202111.0,309489376.0,1.27
2018-06-05,002202,14.06,15.0,15.03,14.02,428944.0,625070592.0,7.07
2018-06-04,002202,14.21,14.01,14.7,14.01,598314.0,842600960.0,-10.02
2018-06-01,002202,16.09,15.57,16.09,15.0,368770.0,568219008.0,-3.53
2018-05-31,002202,16.1,16.14,16.48,15.8,209007.0,336067456.0,0.69
2018-05-30,002202,16.06,16.03,16.37,15.82,168435.0,270455264.0,-2.2
2018-05-29,002202,16.7,16.39,16.73,16.36,129395.0,214076640.0,-1.68
2018-05-28,002202,16.13,16.67,16.73,15.79,221010.0,361773280.0,3.16
2018-05-25,002202,16.3,16.16,16.44,15.5,574806.0,919390656.0,-3.64
2018-05-24,002202,17.29,16.77,17.29,16.56,197697.0,333592192.0,-2.22
2018-05-23,002202,17.28,17.15,17.45,17.06,165916.0,286321184.0,-0.29
2018-05-22,002202,17.51,17.2,17.68,16.95,183820.0,316242816.0,-1.83
2018-05-21,002202,17.5,17.52,17.67,17.38,161534.0,283521728.0,0.86
2018-05-18,002202,17.68,17.37,17.76,16.95,228360.0,394047744.0,-1.59
2018-05-17,002202,18.19,17.65,18.26,17.5,203694.0,361727584.0,-3.34
2018-05-16,002202,18.1,18.26,18.38,17.92,205764.0,374395808.0,0.33
2018-05-15,002202,17.93,18.2,18.36,17.84,293884.0,532558016.0,1.9
2018-05-14,002202,17.7,17.86,17.95,17.45,165733.0,292925216.0,1.02
